"species" "location" "dbh" "age"
"beech" "C" 28 39
"oak" "C" 16 37
"oak" "A" 19 30
"oak" "A" 27 55
"spruce" "C" 20 48
"beech" "C" 28 46
"spruce" "A" 23 57
"spruce" "D" 26 54
"birch" "C" 9 14
"spruce" "C" 19 38
"spruce" "A" 25 50
"fir" "D" 42 39
"beech" "C" 28 50
"birch" "B" 10 14
"oak" "A" 17 41
"oak" "D" 33 81
"oak" "D" 22 50
"oak" "D" 29 73
"oak" "B" 32 53
"beech" "C" 31 67
"spruce" "A" 25 56
"spruce" "A" 26 59
"spruce" "B" 26 52
"oak" "C" 4 6
"spruce" "C" 26 67
"spruce" "B" 26 55
"beech" "D" 26 50
"oak" "C" 12 29
"beech" "A" 20 26
"spruce" "B" 18 36
"beech" "D" 32 40
"oak" "B" 30 37
"oak" "D" 30 54
"spruce" "D" 28 62
"beech" "B" 30 46
"spruce" "D" 25 68
"oak" "C" 14 24
"beech" "C" 19 32
"beech" "C" 29 45
"oak" "D" 15 13
"birch" "D" 13 24
"spruce" "D" 20 45
"beech" "D" 29 42
"spruce" "C" 23 47
"spruce" "D" 26 51
"spruce" "A" 26 41
"spruce" "A" 26 73
"oak" "A" 36 58
"beech" "A" 22 30
"spruce" "C" 23 53
"oak" "B" 42 78
"oak" "D" 14 29
"oak" "B" 15 23
"spruce" "D" 26 50
"oak" "D" 27 59
"oak" "C" 28 65
"spruce" "A" 22 59
"beech" "C" 39 50
"beech" "D" 25 29
"beech" "B" 26 24
"birch" "D" 16 21
"spruce" "A" 28 59
"spruce" "B" 20 38
"beech" "D" 32 64
"spruce" "B" 24 44
"oak" "A" 45 104
"oak" "A" 26 47
"spruce" "D" 25 50
"beech" "D" 38 53
"spruce" "C" 17 28
"oak" "B" 16 30
"birch" "A" 13 23
"spruce" "B" 23 58
"beech" "C" 22 40
"oak" "D" 33 62
"spruce" "A" 26 72
"fir" "D" 36 40
"beech" "D" 24 47
"beech" "C" 22 27
"birch" "D" 15 26
"beech" "D" 39 86
"spruce" "B" 20 42
"oak" "B" 16 40
"spruce" "C" 20 39
"spruce" "A" 25 62
"beech" "D" 34 59
"spruce" "D" 30 65
"beech" "A" 31 47
"oak" "C" 15 21
"spruce" "C" 20 41
"fir" "A" 43 42
"spruce" "A" 26 70
"beech" "D" 30 54
"oak" "D" 16 24
"spruce" "B" 29 52
"oak" "B" 27 48
"beech" "C" 29 56
"fir" "D" 37 42
"birch" "B" 13 24
"beech" "C" 34 58
"spruce" "A" 29 52
"oak" "C" 22 40
"fir" "A" 24 33
"oak" "B" 33 54
"oak" "C" 34 74
"beech" "D" 29 54
"beech" "A" 37 66
"beech" "D" 28 57
"oak" "D" 14 25
"fir" "C" 26 34
"spruce" "C" 25 79
"oak" "A" 33 73
"spruce" "A" 24 49
"birch" "D" 12 25
"spruce" "B" 25 38
"beech" "D" 33 46
"beech" "A" 31 60
"fir" "D" 40 46
"fir" "D" 26 30
"oak" "B" 15 26
"beech" "B" 22 20
"beech" "D" 33 58
"spruce" "D" 22 44
"fir" "C" 14 19
"oak" "B" 22 37
"oak" "A" 25 34
"beech" "D" 29 53
"oak" "C" 26 52
"spruce" "D" 24 41
"oak" "C" 23 57
"oak" "B" 32 83
"beech" "B" 26 42
"birch" "A" 19 35
"birch" "C" 15 28
"fir" "A" 35 42
"beech" "B" 27 44
"fir" "A" 40 35
"fir" "D" 29 32
"birch" "B" 13 21
"beech" "C" 21 29
"spruce" "A" 33 100
"fir" "C" 14 13
"spruce" "C" 21 44
"spruce" "B" 20 35
"oak" "B" 18 30
"spruce" "A" 25 82
"beech" "A" 21 29
"spruce" "C" 23 58
"spruce" "A" 20 27
"spruce" "A" 24 49
"oak" "B" 23 48
"beech" "D" 30 55
"spruce" "D" 29 84
"spruce" "C" 25 71
"beech" "B" 25 49
"oak" "C" 23 42
"beech" "C" 25 50
"beech" "C" 26 41
"beech" "B" 26 48
"oak" "D" 27 70
"spruce" "C" 22 51
"spruce" "B" 23 55
"oak" "B" 32 49
"beech" "A" 28 47
"beech" "C" 32 46
"oak" "C" 30 61
"oak" "D" 36 73
"beech" "A" 27 41
"beech" "D" 30 57
"oak" "B" 33 65
"spruce" "C" 25 72
"spruce" "D" 25 53
"beech" "A" 29 47
"oak" "B" 18 28
"oak" "B" 22 44
"spruce" "B" 22 39
"beech" "A" 25 30
"beech" "A" 22 39
"beech" "C" 34 47
"oak" "A" 19 41
"beech" "D" 28 41
"spruce" "A" 16 34
"beech" "A" 19 29
"beech" "D" 38 76
"spruce" "D" 29 70
"oak" "C" 25 49
"spruce" "A" 18 34
"oak" "B" 21 47
"spruce" "B" 18 42
"fir" "A" 29 51
"spruce" "D" 27 66
"spruce" "B" 24 72
"spruce" "D" 25 56
"spruce" "C" 24 40
"beech" "C" 28 42
"spruce" "C" 15 26
"oak" "B" 34 61
"beech" "C" 26 37
"beech" "A" 31 59
"spruce" "B" 20 39
"beech" "B" 37 69
"beech" "A" 32 70
"beech" "D" 27 59
"spruce" "B" 22 52
"spruce" "B" 19 34
"oak" "A" 26 41
"beech" "A" 28 49
"beech" "A" 18 29
"spruce" "A" 20 34
"spruce" "D" 23 47
"oak" "A" 22 43
"spruce" "C" 23 58
"beech" "A" 26 39
"spruce" "C" 29 54
"beech" "A" 34 52
"birch" "B" 14 30
"spruce" "B" 20 40
"beech" "C" 32 39
"birch" "B" 12 14
"beech" "D" 32 48
"beech" "C" 29 57
"spruce" "D" 25 50
"beech" "D" 36 67
"beech" "C" 23 32
"spruce" "C" 23 46
"beech" "D" 28 50
"beech" "A" 35 76
"oak" "A" 17 43
"beech" "D" 33 47
"beech" "A" 28 53
"birch" "D" 13 24
"spruce" "A" 24 46
